,sample,repetition,dataset,engine,mode,ks_distance
0,A,1,A1,comet,target,0.6477939198278182
1,A,1,A1,msgf,target,0.5540579843428479
2,A,1,A1,xtandem,target,0.4248885912845484
3,A,2,A2,comet,target,0.6309714959902025
4,A,2,A2,msgf,target,0.539432420668051
5,A,2,A2,xtandem,target,0.10563981914094833
6,A,3,A3,comet,target,0.635346254594507
7,A,3,A3,msgf,target,0.5572482801483782
8,A,3,A3,xtandem,target,0.4331668904356049
9,B,1,B1,comet,target,0.6656742954668203
10,B,1,B1,msgf,target,0.6057367012662251
11,B,1,B1,xtandem,target,0.45178425116743504
12,B,2,B2,comet,target,0.6647608856282802
13,B,2,B2,msgf,target,0.6084423582675855
14,B,2,B2,xtandem,target,0.43941910485717733
15,B,3,B3,comet,target,0.6949129207682246
16,B,3,B3,msgf,target,0.6044118521129791
17,B,3,B3,xtandem,target,0.0831082149192911
18,C,1,C1,comet,target,0.6249913912600915
19,C,1,C1,msgf,target,0.5733314078185789
20,C,1,C1,xtandem,target,0.06509154052385246
21,C,2,C2,comet,target,0.61407393832025
22,C,2,C2,msgf,target,0.5626895890402179
23,C,2,C2,xtandem,target,0.453202995593227
24,C,3,C3,comet,target,0.6287892884452939
25,C,3,C3,msgf,target,0.5657509639073324
26,C,3,C3,xtandem,target,0.44258797417533025
